Aberdeen City-South Dakota,"(45.4646985, -98.4864829)"
North Platte Airport Authority,"(41.1402759, -100.7601454)"
North Reading Town-Massachuset,"(42.5750939, -71.0786653)"
North Texas Higher Education,"(30.5681517, -97.6541328)"
Northampton Co-Pennsylvania,"(40.7749283, -75.294569)"
Northbrook Village-Illinois,"(42.1275267, -87.82895479999999)"
Northeast Dubois Co Sch Corp,"(38.398902, -86.7818523)"
Northfield City-Minnesota,"(44.4582983, -93.161604)"
Norwich City-Connecticut,"(41.5242649, -72.07591049999999)"
"Norwood Young America, MN","(44.7735732, -93.92163479999999)"
Nova Scotia Muni Finance Corp,"(44.68198659999999, -63.744311)"
Nova Scotia Municipal Finance,"(44.6481022, -63.5728768)"
Nowata Co Ed Facilities Auth,"(36.700645, -95.6380341)"
O Fallon City-Illinois,"(38.592323, -89.910991)"
Oak Creek City-Wisconsin,"(42.8858503, -87.8631362)"
"Oak Park,Illinois","(41.8850317, -87.7845025)"
"Oakbrook Terrace, Illinois","(41.8500302, -87.96450770000001)"
Oakdale City-Minnesota,"(44.9630216, -92.9649361)"
Oakland City-California,"(37.8043637, -122.2711137)"
Oakland Co (Clarkston) CSD,"(37.8043637, -122.2711137)"
Oakland Co (South Lyon) CSD,"(37.8043637, -122.2711137)"
Oakland County Economic,"(37.8003318, -122.2639117)"
Ocean City-New Jersey,"(39.2776156, -74.5746001)"
Ocean Shores City-Washington,"(46.9736986, -124.1562852)"
Ocoee Utility Dt,"(28.5691677, -81.5439619)"
Oconee Co-South Carolina,"(34.74924500000001, -82.99316069999999)"
Ogallala City-Nebraska,"(41.12821780000001, -101.7203993)"
Ohio,"(40.4172871, -82.90712300000001)"
Ohio Co Commission,"(39.376087, -81.667494)"
Ohio Higher Ed Fac Commission,"(40.4172871, -82.90712300000001)"
Ohio Housing Finance Agency,"(40.4172871, -82.90712300000001)"
Ohio Public Fac Commission,"(40.4172871, -82.90712300000001)"
Okanogan Co-Washington,"(48.58968309999999, -119.6522139)"
Oklahoma City,"(35.4675602, -97.5164276)"
Oklahoma City Airport Trust,"(35.4675602, -97.5164276)"
Oklahoma Co Finance Auth,"(35.4675602, -97.5164276)"
Oklahoma Dev Finance Auth,"(35.4675602, -97.5164276)"
Oklahoma Housing Finance Agy,"(35.53653600000001, -97.515429)"
Oklahoma Industries Auth,"(35.4114, -99.40805429999999)"
Olathe-Kansas,"(38.8813958, -94.81912849999999)"
Omaha Public Facilities Corp,"(41.2442364, -95.92661299999999)"
"Onalaska,Wisconsin","(43.8844092, -91.23513930000001)"
Oneida Co-New York,"(43.2371798, -75.4344727)"
"Onslow Co, North Carolina","(34.6540094, -77.4701972)"
Ontario Co (Geneva) SD,"(42.8771937, -76.9962769)"
Orange Co Housing Finance Auth,"(28.5524939, -81.35375839999999)"
OrangeCo(Washingtonville)CSD,"(41.4333973, -74.1944529)"
Oregon,"(43.8041334, -120.5542012)"
Oregon Department of,"(-31.4815757, -64.2404379)"
Oregon Facilities Authority,"(43.8041334, -120.5542012)"
Oregon Hsg & Comm Svcs Dept,"(44.9453064, -123.028357)"
Orland Fire Protection Dt,"(41.61622300000001, -87.857855)"
Orland Park Village-Illinois,"(41.6303103, -87.85394250000002)"
Orlando Park-Illinois,"(41.6303103, -87.85394250000002)"
Osage Municipal Utilities,"(43.2801061, -92.81075729999999)"
"Oshkosh, Wisconsin","(44.0247062, -88.5426136)"
Otselic Valley CSD,"(42.6479502, -75.7842627)"
Ottawa-Kansas,"(38.615768, -95.2686366)"
"Ottumwa,Iowa","(41.01602930000001, -92.40830220000001)"
"Outagamie County, Wisconsin","(44.4636545, -88.4016041)"
Overland Park City-Kansas,"(38.9822282, -94.6707917)"
Owensboro City-Kentucky,"(37.7719074, -87.1111676)"
Oxford Preparatory Academy Inc,"(51.7520209, -1.2577263)"
Oyster Bay Town-New York,"(40.8656543, -73.5320685)"
Ozaukee Co (Grafton) SD,"(44.169051, -97.54638849999999)"
Paducah City-Kentucky,"(37.0833893, -88.6000478)"
Paintsville ISD Fin Corp,"(37.8145384, -82.8071054)"
Palatine Park Dt,"(42.113239, -88.037714)"
Palm Bay City-Florida,"(28.0344621, -80.5886646)"
Palos Verdes Peninsula USD,"(33.4088366, -111.7562476)"
Park Ridge City-Illinois,"(42.0111412, -87.84061919999999)"
Parker Co (Aledo) ISD,"(32.7197858, -97.6130716)"
Parker Co-Texas,"(33.0553975, -96.6219376)"
Pasco City-Washington,"(46.2395793, -119.1005657)"
Pasco Co School Board,"(28.3287021, -82.60995679999999)"
Passaic City-New Jersey,"(40.8567662, -74.1284764)"
Passaic Co Utilities Authority,"(40.8567662, -74.1284764)"
Passaic Co-New Jersey,"(41.1231647, -74.35874729999999)"
Paterson City-New Jersey,"(40.9167654, -74.17181099999999)"
Paulding Co Industrial Bldg Au,"(33.9142037, -84.8984775)"
Pecos Town-Texas,"(31.4229124, -103.4932293)"
Peculiar City-Missouri,"(38.71917639999999, -94.4585625)"
Pell City-Alabama,"(33.5862149, -86.2860888)"
Pembroke Pines City-Florida,"(26.007765, -80.2962555)"
Penn Twp-Indiana,"(41.6560121, -86.1344697)"
PennHillsMunicipalPennsylvania,"(40.4721507, -79.8199605)"
Pennsylvania,"(41.2033216, -77.1945247)"
Pennsylvania Finance Authority,"(41.2033216, -77.1945247)"
Pennsylvania Hghr Ed Facs Auth,"(41.2033216, -77.1945247)"
Pennsylvania Housing Fin Agcy,"(41.2033216, -77.1945247)"
Penobscot Co (Brewer) HSD,"(44.4645202, -68.7111393)"
Peoria Cnty Sch Dist No 323,"(40.869641, -89.736297)"
Peoria Co (Bartonville) SD #66,"(39.679626, -104.118996)"
Peoria Co (Limestone) CHSD #31,"(40.6904566, -89.6960153)"
"Peoria County, Illinois","(40.7156396, -89.77553379999999)"
Peoria Hgts SD #325,"(44.4970954, -103.8643932)"
"Peoria, Illinois","(40.6936488, -89.5889864)"
Pewaukee Village-Wisconsin,"(43.0542058, -88.21690269999999)"
Phenix City Dowtown Redev Auth,"(32.4709761, -85.0007653)"
Phenix City-Alabama,"(32.4709761, -85.0007653)"
PhiladelphiaMunicipalAuthority,"(39.9547259, -75.165503)"
Phoenix Arizona,"(33.4483771, -112.0740373)"
Phoenix Civic Improvement,"(33.4483771, -112.0740373)"
Phoenix Industrial Dev Auth,"(33.4488398, -112.077349)"
Pierce Co (Ellsworth) CSD,"(40.63553599999999, -104.7552458)"
Pierce Co (Franklin Pierce) SD,"(31.2597987, -82.1822025)"
Pike Co-Mississippi,"(31.1704959, -90.37483540000001)"
Pinellas County Housing,"(27.8947565, -82.7985139)"
Pipestone-Jasper ISD #2689,"(43.9985815, -96.3128117)"
Pittsburgh City-Pennsylvania,"(40.44062479999999, -79.9958864)"
Plain-Wisconsin,"(43.2788776, -90.0437354)"
Plainfield Comm School Corp,"(39.69446569999999, -86.3492546)"
Platteville City Redev Auth,"(42.73416, -90.4784621)"
"Platteville,Wisconsin","(42.73416, -90.4784621)"
Plattsmouth City-Nebraska,"(41.0111103, -95.88084239999999)"
Pleasant Hill City-Iowa,"(41.5873903, -93.5196138)"
Plover Village-Wisconsin,"(44.4563579, -89.5440069)"
Polk Co (Central) SD #13J,"(44.8515108, -123.2118891)"
Polk Co-Florida,"(27.8617347, -81.6911559)"
Polk County Iowa,"(41.6278423, -93.5003454)"
Pontotoc City-Mississippi,"(34.2478831, -88.998673)"
Pontotoc Co Ed Facs Auth,"(34.2478831, -88.998673)"
Port St Lucie City-Florida,"(27.2730492, -80.3582261)"
Port Washington-Saukville SD,"(40.8256561, -73.69818579999999)"
Port of Camas-Washougal-WA,"(45.5808218, -122.3778453)"
Port of Grandview-Washington,"(47.5566337, -122.5538131)"
Port of Manchester-Washington,"(47.5610292, -122.5579046)"
Port of Morrow-Oregon,"(45.85263279999999, -119.6719717)"
Port of Pasco-Washington,"(46.217509, -119.0812657)"
Port of Seattle-Washington,"(47.6138436, -122.3543352)"
"Port of Skagit,Washington","(48.4722136, -122.4134169)"
Port of Vancouver-Washington,"(48.1035993, -122.8807135)"
Port of Woodland-Washington,"(48.058386, -122.794482)"
Porta Community Unit SD #202,"(40.0222324, -89.8879304)"
Portage City-Wisconsin,"(43.5391486, -89.46262019999999)"
Portland City-Oregon,"(45.5230622, -122.6764816)"
Portland Maine,"(43.66147100000001, -70.2553259)"
Portsmouth City-Virginia,"(36.8354258, -76.2982742)"
Prairie du Chien City-Wisconsi,"(43.0516505, -91.1412404)"
Prescott City Wisconsin,"(44.7488565, -92.8021471)"
Providence City-Rhode Island,"(41.8239891, -71.4128343)"
Province of Manitoba,"(53.7608608, -98.81387629999999)"
Province of Quebec,"(52.9399159, -73.5491361)"
Pulaski Co-Illinois,"(37.2512419, -89.1324866)"
Purcellville Town-Virginia,"(39.1367717, -77.7147153)"
Puyallup City-Washington,"(47.1853785, -122.2928974)"
RACINE UNIFIED SCHOOL DISTRICT,"(42.7575614, -87.8051914)"
Racine City-Wisconsin,"(42.7261309, -87.78285230000002)"
Racine Co (Muskego-Norway) SD,"(43.1175726, -96.642433)"
Racine Co (Union Grove) UHSD,"(42.7261309, -87.78285230000002)"
Racine Co (Waterford) Jt SD #1,"(42.7261309, -87.78285230000002)"
Racine Co-Wisconsin,"(42.727213, -88.0326922)"
Radnor Twp-Pennsylvania,"(40.043912, -75.3754599)"
Raleigh City-North Carolina,"(35.7795897, -78.6381787)"
Ralston City-Nebraska,"(41.2002566, -96.031987)"
Ralston Public School Dist #54,"(31.2229476, -89.2665002)"
Ramsey City-Minnesota,"(45.2611, -93.45)"
Ramsey Co-Minnesota,"(44.9963986, -93.0615978)"
Randolph Co-Georgia,"(31.7913398, -84.68974949999999)"
Randolph Co-North Carolina,"(35.7449531, -79.8296743)"
Randolph Town-Massachusetts,"(42.1619739, -71.042551)"
Randolph(Coulterville)CUSD#1,"(38.18643890000001, -89.6056504)"
Rantoul Village-Illinois,"(40.3083672, -88.1558785)"
Reading City-Pennsylvania,"(40.3356483, -75.9268747)"
Red Wing City-Minnesota,"(44.5660691, -92.5369563)"
Redding Joint Powers Fin Auth,"(40.5865396, -122.3916754)"
Redmond City-Oregon,"(44.2726203, -121.1739212)"
"Reedsburg, Wisconsin","(43.5324809, -90.0026259)"
Regents of the Uni of Michigan,"(42.3053253, -83.6694169)"
Regional Transportation Auth,"(29.949866, -90.12910959999999)"
Renaissance Pub School Academy,"(43.59961209999999, -84.74757819999999)"
Reno Co (Buhler) USD #313,"(39.5296329, -119.8138027)"
Rensselaer Housing Authority,"(42.6425794, -73.742898)"
Rensselaer-New York,"(42.6425794, -73.742898)"
RensselaerCo(TroyEnlarged)CSD,"(42.7469046, -73.6823833)"
Rhinelander City-Wisconsin,"(45.6366228, -89.4120753)"
Rhode Island Health & Ed Bldg,"(41.5800945, -71.4774291)"
"Richfield,Minnesota","(44.8832982, -93.28300209999999)"
Richland City-Washington,"(46.2856907, -119.2844621)"
Richland Co-South Carolina,"(34.0412165, -80.9428911)"
Richmond City-Virginia,"(37.5407246, -77.4360481)"
Richmond Comm Redev Agency,"(37.5407246, -77.4360481)"
Ridgewood Board of Education,"(40.9799528, -74.1142945)"
Rio Rancho City-New Mexico,"(35.2327544, -106.6630437)"
River Falls SD,"(43.2240279, -103.4511768)"
River Grove-Illinois,"(41.9258642, -87.83589429999999)"
Riverhead IDA Econ Job Dev Cp,"(40.9170435, -72.66204019999999)"
Riverside City-California,"(33.9533487, -117.3961564)"
RiversideCoPublicFinAuthority,"(37.794799, -79.994725)"
Roanoke City-Virginia,"(37.2709704, -79.9414266)"
Roaring Fork Transportation Au,"(39.3683038, -107.0352907)"
Rochester City-New Hampshire,"(43.304526, -70.97561859999999)"
Rock Co (Beloit) SD,"(42.5135716, -89.0158652)"
Rock Co (Edgerton) SD,"(43.7079786, -97.63311300000001)"
Rock Hill City-South Carolina,"(34.9248667, -81.02507840000001)"
Rock Island City-Illinois,"(41.5094771, -90.5787476)"
Rock River Wtr Reclamation Dt,"(41.7413561, -105.9747251)"
RockIsland(EastMoline)SD#37,"(41.4944439, -90.4404466)"
Rockford City-Illinois,"(42.2711311, -89.0939952)"
Rockville Centre-New York,"(40.65871380000001, -73.6412406)"
Rollingwood City-Texas,"(30.2768742, -97.7911175)"
Rome,"(41.9027835, 12.4963655)"
"Romeoville,Illinois","(41.6475306, -88.0895061)"
Rosemont Village-Illinois,"(41.98675069999999, -87.8721602)"
Rowlett City-Texas,"(32.9029017, -96.56388)"
Rusk Co (Henderson) ISD,"(32.1538744, -94.79957309999999)"
Rusk Co-Wisconsin,"(45.51936490000001, -91.1563029)"
Russellville Alabama,"(34.5078726, -87.7286431)"
Russellville Wtrwks Swr Bd,"(35.2784173, -93.1337856)"
Rutherford Co-Tennessee,"(35.7724263, -86.3376761)"
Rye New York,"(40.9806535, -73.68373989999999)"
Sacramento City USD,"(38.6583577, -121.5172873)"
Sacramento Co Sanit Dt Fin Aut,"(38.5815719, -121.4943996)"
Sacramento County,"(38.47467, -121.3541631)"
Saddle Brook Twp Bd of Ed,"(40.9050675, -74.09023309999999)"
Salem-Keizer School Dt #24-J,"(44.9435907, -123.0049752)"
Salina City-Kansas,"(38.8402805, -97.61142369999999)"
Salt Lake City Redev Agency,"(40.7607793, -111.8910474)"
"Salt Lake City,Utah","(40.7607793, -111.8910474)"
Salt Lake Co-Utah,"(40.644188, -111.9522491)"
Sammamish Plateau Wtr & Swr Dt,"(47.61626829999999, -122.0355736)"
San Antonio City-Texas,"(29.4241219, -98.49362819999999)"
San Bernardino City USD,"(34.1359854, -117.3218907)"
San Bernardino Co (Rialto) USD,"(34.1083449, -117.2897652)"
San Bruno City-California,"(37.6304904, -122.4110835)"
San Diego Co (Chula Vista) ESD,"(32.6316096, -117.0581445)"
San Diego Co-California,"(32.7157305, -117.1610966)"
San Diego Regional Airport Au,"(32.715738, -117.1610838)"
San Diego USD,"(32.992866, -117.0822698)"
San Joaquin Co (Lincoln) USD,"(38.0113244, -121.3379547)"
San Joaquin Co-California,"(37.9175935, -121.1710389)"
San Jose Charter Academy,"(34.0624667, -117.9601148)"
San Juan Water Dt,"(27.9615257, -82.7773109)"
San Luis City-Arizona,"(32.4869996, -114.7821796)"
San Luis Facility Dev Corp,"(38.791943, -90.214139)"
San Marcos City-Texas,"(29.8832749, -97.9413941)"
San Mateo Co (Jefferson) UHSD,"(37.6683708, -122.4772259)"
San Patricio Co (Taft) ISD,"(27.9852979, -97.3923605)"
SanBuenaventuraCity-California,"(34.274646, -119.2290316)"
SanJuan(OrcasIsland)SD#137,"(48.6986025, -122.9032725)"
Sandwich Town-Massachusetts,"(41.7589615, -70.49393169999999)"
Sandy City-Utah,"(40.5649781, -111.8389726)"
Santa Clara Co (Palo Alto) USD,"(37.4333869, -122.1547029)"
Santa Clara Co (San Jose) USD,"(37.282677, -121.8818457)"
Santa Clara Co (Union) ESD,"(37.2654465, -122.0143371)"
Santa Maria City-California,"(34.9530337, -120.4357191)"
Santa Rosa City-California,"(38.440429, -122.7140548)"
Sartell City-Minnesota,"(45.6216318, -94.2069365)"
Savannah Economic Dev Auth,"(32.0835407, -81.09983419999999)"
Schaumburg Park Dt,"(42.0194535, -88.07440969999999)"
Schenectady CSD,"(42.81238219999999, -73.9242251)"
Schenectady Metroplex Dev Auth,"(42.8131162, -73.9417467)"
Schiller Park Village-Illinois,"(41.95586369999999, -87.8708965)"
Schodack Central School,"(42.5211705, -73.7117434)"
Schuykill Co (Tri-Valley) SD,"(40.6692218, -76.5257007)"
Schuylkill Co-Pennsylvania,"(40.6873058, -76.17837390000001)"
Scott Co (Jordan) ISD #717,"(44.6583352, -93.64379009999999)"
Scotts Valley,"(37.0510595, -122.0146841)"
Scottsboro City-Alabama,"(34.6723069, -86.03414629999999)"
Scottsboro Ind Dvlp Board,"(34.6723069, -86.03414629999999)"
Scottsdale Muni Property Corp,"(33.4941704, -111.9260519)"
Seaside Heights Boro-New Jerse,"(39.9437047, -74.0737087)"
Seattle City-Washington,"(47.6062095, -122.3320708)"
Sedgwick-Kansas,"(37.9166784, -97.422541)"
SedgwickCo(ValleyCtr)USD#262,"(37.830146, -97.37348)"
Selah-Washington,"(46.6540153, -120.5300666)"
Seneca City-Kansas,"(39.834165, -96.06416759999999)"
Seneca Co-Ohio,"(41.1585179, -83.1649001)"
Sequim City-Washington,"(48.0795365, -123.1018437)"
Sewickley Boro-Pennsylvania,"(40.523981, -80.154397)"
Sheboygan Co ASD,"(43.7508284, -87.71453)"
Sheffield Lake City-Ohio,"(41.48754, -82.1015369)"
Shelby Charter Twp-Michigan,"(42.670782, -83.0329934)"
Shelby Co-Ohio,"(40.3689335, -84.2278796)"
Shenandoah City-Iowa,"(40.7667389, -95.3761506)"
Shenandoah School Corp,"(40.0163455, -85.47880649999999)"
Sherburne Co (Becker) ISD #726,"(45.3953899, -93.8753571)"
Shorewood Hills Vlg-Wisconsin,"(43.7844397, -88.7878678)"
Shorewood Village-Wisconsin,"(43.0891787, -87.8875848)"
Shrewsbury Town-Massachusetts,"(42.2959267, -71.71284709999999)"
Signal Hill Redevelopment Agen,"(44.203142, 0.616363)"
Simpson Co-Kentucky,"(36.7772014, -86.6207943)"
Sioux City-Iowa,"(42.4999942, -96.40030689999999)"
Smyrna Town-Tennessee,"(35.9828412, -86.5186045)"
Snohomish Co-Washington,"(48.0329979, -121.8339472)"
SnohomishCo(Arlington)SD#16,"(48.1956988, -122.1219499)"
Sonoma City-California,"(38.291859, -122.4580356)"
SonomaCo(CotatiRohnertPark)USD,"(38.3373005, -122.7068429)"
South California Public Power,"(34.1179011, -117.8225766)"
South Carolina Housing Finance,"(33.256841, -81.3765128)"
South Carolina Jobs Economic,"(34.0012292, -81.0346912)"
South Carolina Student Loan,"(33.9977529, -81.0256236)"
South Dakota Building Auth,"(43.9695148, -99.9018131)"
South Dakota Housing Dev Auth,"(44.3660691, -100.3590016)"
"South Euclid City, Ohio","(41.5231076, -81.5184553)"
South Jersey Transp Auth,"(39.3634456, -74.428326)"
South Lake Tahoe City-Californ,"(38.939926, -119.9771868)"
South Portland-Maine,"(43.6414716, -70.2408811)"
South St Paul City-Minnesota,"(44.8759802, -93.0275802)"
SouthOrangeVlgTwp-NewJersey,"(40.7489277, -74.2609903)"
Southbridge Town-Massachusetts,"(42.0751065, -72.0333905)"
Southern Ohio Port Authority,"(39.6680311, -83.53760489999999)"
Southport City-Indiana,"(39.6618814, -86.1166506)"
Southwest Higher Ed Auth,"(44.9484956, -93.0896863)"
Spotsylvania Co-Virginia,"(38.204165, -77.6077865)"
Spring Valley Village-New York,"(41.1131514, -74.0437521)"
Springfield City-Massachusetts,"(42.1014831, -72.589811)"
Springfield-Kentucky,"(37.6853413, -85.2221819)"
St Albans City-West Virginia,"(38.3793695, -81.8191658)"
St Charles City SD,"(43.0869262, -99.0954325)"
St Clair Co (Cahokia) SD #187,"(38.60339099999999, -90.16157109999999)"
St Clair Co (Dupo) SD #196,"(38.5135145, -90.207001)"
St Clair Co Board of Education,"(38.0204634, -93.6982666)"
St Clair Co-Illinois,"(38.40081199999999, -89.9253233)"
St Clair Co-Michigan,"(42.8208653, -82.486024)"
St Clair County Public,"(42.9046242, -82.5231762)"
St Francis City-Wisconsin,"(42.9716437, -87.8758939)"
St George Interlocal Agency,"(37.0965278, -113.5684164)"
St Lawrence Co Ind Dev Agency,"(44.602054, -75.149132)"
St Louis City Industrial Dev,"(38.6270025, -90.19940419999999)"
St Louis Co (Hazelwood) SD,"(38.6748543, -90.3208645)"
St Louis Co (Parkway) SD #C-2,"(38.670077, -90.47654299999999)"
St Louis Co Indl Dvlp Auth,"(38.6270025, -90.19940419999999)"
St Louis County - Missouri,"(38.6103023, -90.4125181)"
St Louis Park Minnesota,"(44.9597376, -93.3702186)"
St Paul Port Authority,"(44.9455647, -93.0956958)"
"St Paul,Minnesota","(44.9537029, -93.0899578)"
StClair(Belleville)THSD#201,"(38.50900800000001, -89.97668999999999)"
Stafford Township,"(39.7046713, -74.26327839999999)"
Steamboat Springs SD #RE-2,"(40.4849769, -106.8317158)"
Sterling Kansas,"(38.2100111, -98.20700590000001)"
Steuben Co Metro SD,"(43.3200694, -75.2829465)"
Stevens Point City-Wisconsin,"(44.52357920000001, -89.574563)"
Stone Park-Illinois,"(41.90558619999999, -87.88367319999999)"
Stony Point Town-New York,"(41.2295386, -73.9870847)"
Stratford Town-Connecticut,"(41.18454149999999, -73.1331651)"
"Sturgeon Bay,Wisconsin","(44.8341639, -87.3770419)"
Suffolk Co (Bay Shore) UFSD,"(40.7583244, -73.2630147)"
Suffolk Co (Lindenhurst) UFSD,"(40.6873821, -73.3742649)"
Suffolk Co (Wyandanch) UFSD,"(40.7460057, -73.3757412)"
Suisun City Redevelopment,"(38.2422442, -122.0154949)"
Summit Co (Barberton City) SD,"(39.5911871, -106.0640179)"
Sun Prairie City-Wisconsin,"(43.1836046, -89.2137254)"
"Sunrise City, Florida","(26.1669711, -80.25659499999999)"
Superior City-Wisconsin,"(46.7207737, -92.10407959999999)"
Sussex Borough-New Jersey,"(40.237608, -74.28323499999999)"
"Syracuse,New York","(43.0481221, -76.14742439999999)"
Talladega Co BOE,"(33.5238215, -85.9463943)"
Tampa Bay Water Auth,"(27.966106, -82.794158)"
Tampa City-Florida,"(27.950575, -82.4571776)"
Tampa Expressway Authority,"(27.632433, -82.5618092)"
Tarkio R-1 (Atchinson Co) SD,"(40.4402763, -95.37775859999999)"
Tarrant Co (Azle) ISD,"(32.8958005, -97.5436445)"
Taylion Virtual Academies Cali,"(3.4516467, -76.5319854)"
Tazewell Co (Robein) SD #85,"(40.681897, -89.5190902)"
Teaneck Twp Brd of Education,"(40.8932469, -74.0116536)"
Temple City-Texas,"(31.0982344, -97.342782)"
Tennessee,"(35.5174913, -86.5804473)"
Tennessee State School Bond Au,"(35.5174913, -86.5804473)"
Texas,"(31.9685988, -99.9018131)"
Texas Affordable Housing Corp,"(30.2806521, -97.7178256)"
Texas Department Housing and,"(29.753559, -95.365684)"
Texas Public Finance Authority,"(31.9685988, -99.9018131)"
Texas Veteran's Land Board,"(31.762974, -106.487335)"
Thomaston-Upson Co Ind Dev Au,"(32.8881879, -84.3265854)"
Thomson City & McDuffie Co-GA,"(32.1656221, -82.9000751)"
ThurstonCo(Rochester)SD#401,"(46.822524, -123.0965254)"
Titus Co (Mount Pleasant) ISD,"(33.156419, -94.969022)"
Toledo City-Ohio,"(41.6639383, -83.55521200000001)"
Toledo-Lucas County Port Auth,"(41.5925981, -83.8061472)"
Topeka City-Kansas,"(39.0558235, -95.68901849999999)"
Town Of Bridgewater,"(40.5939636, -74.6049061)"
Travis Co (Austin) ISD,"(30.1847583, -97.9233706)"
Travis Co-Texas,"(31.1354588, -97.0027678)"
"Trenton, New Jersey","(40.2170534, -74.7429384)"
Trussville City-Alabama,"(33.6198251, -86.60887559999999)"
Tucson City-Arizona,"(32.2217429, -110.926479)"
Tulsa Airport Improvement,"(36.1539816, -95.99277500000001)"
Tulsa County Industrial Auth,"(36.1593471, -95.94097099999999)"
Tulsa Stadium Trust,"(36.1539816, -95.99277500000001)"
Tuscaloosa City-Alabama,"(33.2098407, -87.56917349999999)"
UnifiedGovWyandotte Co/Kansas,"(39.011902, -98.4842465)"
Union City Missouri,"(38.4500517, -91.00847619999999)"
Union City-Tennessee,"(36.4242303, -89.0570096)"
Union Co-Oregon,"(45.2334122, -118.0410627)"
Unity Twp Municipal Auth,"(40.2939739, -79.4478858)"
"University Place,Washington","(47.2356536, -122.5504041)"
University of MS Educational,"(34.3661047, -89.5429843)"
"Upper Arlington City, Ohio","(39.99450840000001, -83.0624078)"
Upper Occoquan Sewage Auth,"(38.8104224, -77.4588436)"
Utah Charter School Fin Auth,"(39.3209801, -111.0937311)"
Utah Co (Provo City) SD BOE,"(39.3209801, -111.0937311)"
Utah State Board of Regents,"(39.3209801, -111.0937311)"
Vancouver Washington,"(45.6387281, -122.6614861)"
Ventura Co (Simi Valley) USD,"(34.2794811, -118.7814774)"
"Vermillion, South Dakota","(42.7794417, -96.9292104)"
Vermont Housing Finance Agency,"(46.7973199, -100.7513022)"
Vermont Municipal Bond Bank,"(44.5588028, -72.57784149999999)"
Vernon Co (Viroqua) ASD,"(39.946379, -102.3154743)"
Vernon Twp-New Jersey,"(41.1947018, -74.49379429999999)"
Vestavia Hills City-Alabama,"(33.4487183, -86.7877668)"
Victoria City-Texas,"(28.8052674, -97.0035982)"
Vinton Co LSD,"(37.2809707, -79.8969819)"
Virgin Islands Port Authority,"(18.3356163, -64.96943399999999)"
Virginia Port Authority,"(36.84600349999999, -76.2933469)"
Virginia Resources Auth (VRA),"(37.4315734, -78.6568942)"
"Virginia,Minnesota","(47.5232596, -92.53657129999999)"
WBloomfieldCharterTwpMichigan,"(42.5678534, -83.373339)"
Wall Township BOE,"(40.1698245, -74.0600074)"
Waltham City-Massachusetts,"(42.3764852, -71.2356113)"
Walton Co Dev Auth,"(33.7771732, -83.7778644)"
Walworth Co (East Troy) CSD,"(42.5311279, -88.5995456)"
Walworth Co (Fontana) JSD#8,"(42.5311279, -88.5995456)"
Warren Co (Springboro City)CSD,"(39.5121767, -84.2175644)"
Warren Co SD,"(42.3023198, -87.8674011)"
Warren Co-Kentucky,"(36.9886043, -86.49965460000001)"
Warsaw City-Indiana,"(41.2381, -85.8530469)"
Washington,"(38.9071923, -77.0368707)"
Washington (West Bend) Jt SD #,"(43.4252776, -88.1834277)"
Washington City-Pennsylvania,"(40.17396, -80.2461714)"
Washington Co (Banks) SD #13,"(45.6150149, -123.1139839)"
Washington Co (Kewaskum) SD,"(40.063745, -102.989615)"
Washington Co (Peters) TSD,"(40.063745, -102.989615)"
Washington Co (Trinity) ASD,"(40.063745, -102.989615)"
Washington Co Pub Facs Auth,"(40.063745, -102.989615)"
Washington Co Rural Dev Auth,"(40.063745, -102.989615)"
Washington Co SD#1,"(39.741836, -92.473992)"
Washington Co-Pennsylvania,"(40.1367719, -80.1875065)"
Washington Co-Tennessee,"(36.3321016, -82.5185837)"
Washington Co-Utah,"(37.3224877, -113.4776098)"
Washington County,"(37.3224877, -113.4776098)"
Washington Econ Dev Fin Auth,"(38.9071923, -77.0368707)"
Washington Hghr Ed Facs Auth,"(38.9071923, -77.0368707)"
Washington State Housing Fin,"(47.6058514, -122.3353191)"
WashingtonCo(Beaverton)SD#48J,"(45.489988, -122.808105)"
WashingtonCo(Canon-McMillan)SD,"(40.23621600000001, -80.1651854)"
WashingtonCo(HudsonFalls)CSD,"(43.2891759, -73.58949419999999)"
"Washtenaw County, Michigan","(42.3076493, -83.8473015)"
Waterbury City-Connecticut,"(41.5581525, -73.0514965)"
"Waterloo, Iowa","(42.492786, -92.34257749999999)"
Watertown City-Wisconsin,"(43.1947211, -88.7289918)"
Watertown Unified School Dt,"(42.3709299, -71.1828321)"
Waukee City-Iowa,"(41.6119903, -93.8855768)"
Waukesha City-Wisconsin,"(43.0116784, -88.2314813)"
Waupaca Co (New London) SD,"(44.3580348, -89.0859464)"
Waupaca SD,"(44.3580348, -89.0859464)"
Wausau City-Wisconsin,"(44.9591352, -89.6301221)"
Wauwatosa City-Wisconsin,"(43.0494572, -88.0075875)"
Waverly-Iowa,"(42.7272032, -92.4668511)"
Waxahachie Educ Fin Corp,"(32.3865312, -96.8483311)"
Wayne Co-Mississippi,"(31.7130601, -88.7108964)"
"Wayne County, Michigan","(42.2790746, -83.33618799999999)"
West Bend-Wisconsin,"(43.4252776, -88.1834277)"
West Chester Boro-Pennsylvania,"(40.3813659, -79.90979899999999)"
West Chicago Park Dt,"(41.793242, -87.58778199999999)"
West Deptford Township New,"(39.8381053, -75.20353469999999)"
West Des Moines City-Iowa,"(41.5772115, -93.711332)"
West Haven City-Connecticut,"(41.2705484, -72.9469711)"
